date,player_name,team,opponent,kast,adr,rating,hs,winner
2020-02-26,AZR,100 Thieves,TYLOO,82.4,68.5,1.14,17,0
2020-02-26,Gratisfaction,100 Thieves,TYLOO,76.5,57.5,1.08,10,0
2020-02-26,Liazz,100 Thieves,TYLOO,86.3,95.5,1.48,21,0
2020-02-26,jkaem,100 Thieves,TYLOO,74.5,89.2,1.39,23,0
2020-02-26,jks,100 Thieves,TYLOO,82.4,96.6,1.49,23,0
2020-02-24,AZR,100 Thieves,G2,40.5,41.6,0.37,8,1
2020-02-24,Gratisfaction,100 Thieves,G2,43.2,44.9,0.44,4,1
2020-02-24,Liazz,100 Thieves,G2,54.1,49.9,0.55,6,1
2020-02-24,jkaem,100 Thieves,G2,51.4,64.4,0.78,13,1
2020-02-24,jks,100 Thieves,G2,59.5,84.1,0.9,18,1
2020-02-25,Magisk,Astralis,Vitality,75.8,85.9,1.33,20,0
2020-02-25,Xyp9x,Astralis,Vitality,74.2,81.4,1.11,20,0
2020-02-25,device,Astralis,Vitality,68.2,76.3,1.16,23,0
2020-02-25,dupreeh,Astralis,Vitality,74.2,84.2,1.22,26,0
2020-02-25,gla1ve,Astralis,Vitality,74.2,65.7,0.9,17,0
2020-02-24,Magisk,Astralis,Cloud9,74.5,83,1.18,17,0
2020-02-24,Xyp9x,Astralis,Cloud9,84.3,95.6,1.52,21,0
2020-02-24,device,Astralis,Cloud9,82.4,88.3,1.57,21,0
2020-02-24,dupreeh,Astralis,Cloud9,80.4,78.2,1.07,19,0
2020-02-24,gla1ve,Astralis,Cloud9,82.4,68.6,1.11,14,0
2020-02-25,JT,Cloud9,NiP,53.5,44.5,0.59,11,1
2020-02-25,Sonic,Cloud9,NiP,55.8,50.4,0.59,13,1
2020-02-25,floppy,Cloud9,NiP,65.1,77.3,0.94,15,1
2020-02-25,motm,Cloud9,NiP,60.5,61.4,0.76,13,1
2020-02-25,oSee,Cloud9,NiP,69.8,67.8,0.81,11,1
2020-02-24,JT,Cloud9,Astralis,54.9,57.2,0.71,16,1
2020-02-24,Sonic,Cloud9,Astralis,70.6,55.5,0.82,11,1
2020-02-24,floppy,Cloud9,Astralis,56.9,75.5,0.94,14,1
2020-02-24,motm,Cloud9,Astralis,62.7,58.8,0.83,13,1
2020-02-24,oSee,Cloud9,Astralis,64.7,52.4,0.73,6,1
2020-02-26,Brehze,Evil Geniuses,Liquid,71.1,79.9,1.04,29,1
2020-02-26,CeRq,Evil Geniuses,Liquid,65.1,71.7,0.98,18,1
2020-02-26,Ethan,Evil Geniuses,Liquid,65.1,58.7,0.83,18,1
2020-02-26,stanislaw,Evil Geniuses,Liquid,61.4,69,0.88,17,1
2020-02-26,tarik,Evil Geniuses,Liquid,69.9,69.2,0.92,18,1
